年份,分组,季度,加权回报率,月份,Year_Quarter,Date,Adjusted_Returns,Cumulative_Return
2019,4,12,0.0876201311794933,9-12,2019M12,2019-12-01,1.0876201311794933,5.529847365224218
2020,4,4,0.0530423813954867,1-4,2020M4,2020-04-01,1.0530423813954868,5.823163638229269
2020,3,4,0.0616686862210602,1-4,2020M4,2020-04-01,1.0616686862210603,5.1100168833929445
2020,2,4,0.0398996945700509,1-4,2020M4,2020-04-01,1.039899694570051,4.073199833078497
2020,1,4,-0.0218813693006001,1-4,2020M4,2020-04-01,0.9781186306993999,4.4589794276519035
2020,0,4,0.0040664740463756,1-4,2020M4,2020-04-01,1.0040664740463756,3.1381444634413875
2020,1,8,0.3502552378435744,5-8,2020M8,2020-08-01,1.3502552378435744,6.0207603276237265
2020,4,8,0.4680776869018395,5-8,2020M8,2020-08-01,1.4680776869018395,8.548856604462525
2020,2,8,0.4559024803554588,5-8,2020M8,2020-08-01,1.4559024803554588,5.930181739962424
2020,0,8,0.3785177696776247,5-8,2020M8,2020-08-01,1.3785177696776247,4.325987906669408
2020,3,8,0.4974517610246425,5-8,2020M8,2020-08-01,1.4974517610246425,7.65200378090242
2020,3,12,0.0442258452594983,9-12,2020M12,2020-12-01,1.0442258452594984,7.990420116041706
2020,4,12,0.1027513903774608,9-12,2020M12,2020-12-01,1.1027513903774608,9.427263506708588
2020,0,12,-0.0120216970307128,9-12,2020M12,2020-12-01,0.9879783029692872,4.2739821906969
2020,1,12,0.0749206885537334,9-12,2020M12,2020-12-01,1.0749206885537335,6.471839836986298
2020,2,12,0.0012576744600281,9-12,2020M12,2020-12-01,1.0012576744600281,5.9376399780800995
2021,3,4,0.0263241613237816,1-4,2021M4,2021-04-01,1.0263241613237817,8.200761224221178
2021,0,4,0.0088029304553918,1-4,2021M4,2021-04-01,1.0088029304553918,4.311605758689188
2021,1,4,-0.0109129840718229,1-4,2021M4,2021-04-01,0.989087015928177,6.401212751929878
2021,2,4,-0.0401397606769408,1-4,2021M4,2021-04-01,0.9598602393230592,5.699304530374128
2021,4,4,-0.0046630722597994,1-4,2021M4,2021-04-01,0.9953369277402005,9.383303495764636
2021,0,8,0.2600534716278577,5-8,2021M8,2021-08-01,1.2600534716278577,5.4328538045269745
2021,1,8,0.2177268259179032,5-8,2021M8,2021-08-01,1.2177268259179033,7.794928486432776
2021,4,8,0.1676323313762686,5-8,2021M8,2021-08-01,1.1676323313762687,10.956248536770754
2021,2,8,0.1549255731630938,5-8,2021M8,2021-08-01,1.1549255731630939,6.582272551373357
2021,3,8,0.213676628892925,5-8,2021M8,2021-08-01,1.213676628892925,9.953072236968577
2021,4,12,0.0860512700081459,9-12,2021M12,2021-12-01,1.086051270008146,11.899047637884768
2021,1,12,0.1248780839511298,9-12,2021M12,2021-12-01,1.1248780839511299,8.768344220354582
2021,2,12,0.1595658404019782,9-12,2021M12,2021-12-01,1.1595658404019782,7.63257840278812
2021,3,12,0.168761054865113,9-12,2021M12,2021-12-01,1.168761054865113,11.632763206828065
2021,0,12,0.1512532038798624,9-12,2021M12,2021-12-01,1.1512532038798624,6.254590348672579
2022,0,4,-0.096509313235388,1-4,2022M4,2022-04-01,0.903490686764612,5.650964129553502
2022,4,4,-0.1654352163964519,1-4,2022M4,2022-04-01,0.8345647836035481,9.930526116999612
2022,1,4,-0.1416786226540525,1-4,2022M4,2022-04-01,0.8583213773459475,7.526057288258123
2022,3,4,-0.1447185080895915,1-4,2022M4,2022-04-01,0.8552814919104085,9.949287070576414
2022,2,4,-0.1441275569754032,1-4,2022M4,2022-04-01,0.8558724430245968,6.532513524171042
2022,3,8,0.1279906624430782,5-8,2022M8,2022-08-01,1.1279906624430782,11.222702913575842
2022,2,8,0.0879890508302712,5-8,2022M8,2022-08-01,1.0879890508302712,7.107303188698762
2022,4,8,0.1310958143271092,5-8,2022M8,2022-08-01,1.1310958143271093,11.232376525004304
2022,1,8,0.0935782824481277,5-8,2022M8,2022-08-01,1.0935782824481277,8.230332802899532
2022,0,8,0.0606555913116264,5-8,2022M8,2022-08-01,1.0606555913116265,5.993726700312361
2022,2,12,-0.0063214917484257,9-12,2022M12,2022-12-01,0.9936785082515743,7.062374430237844
2022,0,12,-0.0258629724762714,9-12,2022M12,2022-12-01,0.9741370275237285,5.838711111631889
2022,3,12,-0.0510282016604124,9-12,2022M12,2022-12-01,0.9489717983395876,10.650028566126997
2022,4,12,-0.0083016244177058,9-12,2022M12,2022-12-01,0.9916983755822942,11.139129553775463
2022,1,12,-0.0321391834065414,9-12,2022M12,2022-12-01,0.9678608165934586,7.96581662745027
2023,4,4,0.1130409611818499,1-4,2023M4,2023-04-01,1.11304096118185,12.398307465263393
2023,3,4,0.085232576946858,1-4,2023M4,2023-04-01,1.085232576946858,11.557757945375652
2023,2,4,0.063297023254583,1-4,2023M4,2023-04-01,1.063297023254583,7.509401708781182
2023,1,4,0.1153118015557446,1-4,2023M4,2023-04-01,1.1153118015557446,8.884369293624266
2023,0,4,0.1386982256347084,1-4,2023M4,2023-04-01,1.1386982256347085,6.6485299828088875
2023,1,8,-0.0187531160471086,5-8,2023M8,2023-08-01,0.9812468839528914,8.717759685255562
2023,0,8,0.0341494839459954,5-8,2023M8,2023-08-01,1.0341494839459955,6.875573850721289
2023,2,8,0.0292250498504507,5-8,2023M8,2023-08-01,1.0292250498504507,7.728864348067371
2023,3,8,-0.0113862869874119,5-8,2023M8,2023-08-01,0.988613713012588,11.426157996478564
2023,4,8,0.0277568260000942,5-8,2023M8,2023-08-01,1.0277568260000942,12.742445128272378
2023,1,12,-0.0522216719547701,9-12,2023M12,2023-12-01,0.9477783280452299,8.262503698791626
2023,2,12,-0.0714630958250219,9-12,2023M12,2023-12-01,0.9285369041749781,7.176535774542837
2023,3,12,-0.0447003764565054,9-12,2023M12,2023-12-01,0.9552996235434946,10.915404432584463
2023,0,12,-0.0260496424550722,9-12,2023M12,2023-12-01,0.9739503575449278,6.696467610236556
2023,4,12,-0.0778841406852228,9-12,2023M12,2023-12-01,0.9221158593147772,11.75001073922828
