年份,月份,分组,加权回报率
2023,8,3,-0.047204745
2023,5,4,-0.021783839
2023,6,4,0.0366572
2023,7,4,0.031429475
2023,8,4,-0.04884269
2003,9,0,0
2003,10,0,0
2003,11,0,0
2003,12,0,0
2003,9,1,0
2003,10,1,0
2003,11,1,0
2003,12,1,0
2003,9,2,0
2003,10,2,0
2003,11,2,0
2003,12,2,0
2003,9,3,0
2003,10,3,0
2003,11,3,0
2003,12,3,0
2003,9,4,0
2003,10,4,0
2003,11,4,0
2003,12,4,0
2004,9,0,0
2004,10,0,0
2004,11,0,0
2004,12,0,0
2004,9,1,0
2004,10,1,0
2004,11,1,0
2004,12,1,0
2004,9,2,0
2004,10,2,0
2004,11,2,0
2004,12,2,0
2004,9,3,0
2004,10,3,0
2004,11,3,0
2004,12,3,0
2004,9,4,0
2004,10,4,0
2004,11,4,0
2004,12,4,0
2005,9,0,0
2005,10,0,0
2005,11,0,0
2005,12,0,0
2005,9,1,0
2005,10,1,0
2005,11,1,0
2005,12,1,0
2005,9,2,0
2005,10,2,0
2005,11,2,0
2005,12,2,0
2005,9,3,0
2005,10,3,0
2005,11,3,0
2005,12,3,0
2005,9,4,0
2005,10,4,0
2005,11,4,0
2005,12,4,0
2006,9,0,0
2006,10,0,0
2006,11,0,0
2006,12,0,0
2006,9,1,0
2006,10,1,0
2006,11,1,0
2006,12,1,0
2006,9,2,0
2006,10,2,0
2006,11,2,0
2006,12,2,0
2006,9,3,0
2006,10,3,0
2006,11,3,0
2006,12,3,0
2006,9,4,0
2006,10,4,0
2006,11,4,0
2006,12,4,0
2007,9,0,0
2007,10,0,0
2007,11,0,0
2007,12,0,0
2007,9,1,0
2007,10,1,0
2007,11,1,0
2007,12,1,0
2007,9,2,0
2007,10,2,0
2007,11,2,0
2007,12,2,0
2007,9,3,0
2007,10,3,0
2007,11,3,0
2007,12,3,0
2007,9,4,0
2007,10,4,0
2007,11,4,0
2007,12,4,0
2008,9,0,0
2008,10,0,0
2008,11,0,0
2008,12,0,0
2008,9,1,0
2008,10,1,0
2008,11,1,0
2008,12,1,0
2008,9,2,0
2008,10,2,0
2008,11,2,0
2008,12,2,0
2008,9,3,0
2008,10,3,0
2008,11,3,0
2008,12,3,0
2008,9,4,0
2008,10,4,0
2008,11,4,0
2008,12,4,0
2009,9,0,0
2009,10,0,0
2009,11,0,0
2009,12,0,0
2009,9,1,0
2009,10,1,0
2009,11,1,0
2009,12,1,0
2009,9,2,0
2009,10,2,0
2009,11,2,0
2009,12,2,0
2009,9,3,0
2009,10,3,0
2009,11,3,0
2009,12,3,0
2009,9,4,0
2009,10,4,0
2009,11,4,0
2009,12,4,0
2010,9,0,0.016579882
2010,10,0,0.12076752
2010,11,0,0.013817899
2010,12,0,-0.042162863
2010,9,1,0.029914276
2010,10,1,0.136772595
2010,11,1,-0.01502059
2010,12,1,-0.013452356
2010,9,2,0.049107284
2010,10,2,0.108987583
2010,11,2,0.006873714
2010,12,2,0.003049574
2010,9,3,0.049054302
2010,10,3,0.230305905
2010,11,3,0.016384779
2010,12,3,0.038634507
2010,9,4,0.069279504
2010,10,4,0.095047259
2010,11,4,0.012390412
2010,12,4,0.020721156
2011,9,0,-0.109055452
2011,10,0,0.056317701
2011,11,0,-0.044469265
2011,12,0,-0.128289048
2011,9,1,-0.110822889
2011,10,1,0.043928178
2011,11,1,-0.046110316
2011,12,1,-0.092039126
2011,9,2,-0.104742708
2011,10,2,0.043727174
2011,11,2,-0.043845664
2011,12,2,-0.123206357
2011,9,3,-0.131441029
2011,10,3,0.060777068
2011,11,3,-0.029021425
2011,12,3,-0.130307705
2011,9,4,-0.138676453
2011,10,4,0.058247299
2011,11,4,-0.048170178
2011,12,4,-0.091315836
2012,9,0,0.025557376
2012,10,0,-0.010375573
2012,11,0,-0.077302811
2012,12,0,0.176585575
2012,9,1,0.030048322
2012,10,1,0.090045788
2012,11,1,-0.07615313
